ts,invest,money,buy,sell
1282262400,10000.000,10000.000,0.000,0.000
1282867200,10000.000,10000.000,0.000,0.000
1283472000,10000.000,10000.000,0.000,0.000
1284076800,10000.000,10000.000,0.000,0.000
1284681600,10000.000,10000.000,0.000,0.000
1285027200,10000.000,10000.000,0.000,0.000
1285804800,10000.000,10000.000,0.000,0.000
1286496000,10000.000,10000.000,0.000,0.000
1287100800,10000.000,10000.000,0.000,0.000
1287705600,10000.000,10000.000,0.000,0.000
1288051200,10000.000,10000.000,0.000,0.000
1288137600,10000.000,10000.000,0.000,0.000
1288224000,10000.000,10000.000,0.000,0.000
1288310400,10000.000,10000.000,0.000,0.000
1288569600,10000.000,10000.000,0.000,0.000
1288656000,10000.000,10000.000,0.000,0.000
1288742400,10000.000,10000.000,0.000,0.000
1288828800,10000.000,10000.000,0.000,0.000
1288915200,10000.000,10000.000,0.000,0.000
1289174400,10000.000,10000.000,0.000,0.000
1289260800,10000.000,10000.000,0.000,0.000
1289347200,10000.000,10000.000,0.000,0.000
1289433600,10000.000,10000.000,0.000,0.000
1289520000,10000.000,10000.000,0.000,0.000
1289779200,10000.000,10000.000,0.000,0.000
1289865600,10000.000,10000.000,0.000,0.000
1289952000,10000.000,10000.000,0.000,0.000
1290038400,10000.000,10000.000,0.000,0.000
1290124800,10000.000,10000.000,0.000,0.000
1290384000,10000.000,10000.000,0.000,0.000
1290470400,10000.000,10000.000,10000.000,0.000
1290556800,10000.000,10136.986,0.000,0.000
1290643200,10000.000,10215.264,0.000,10215.264
1290729600,10000.000,10215.264,0.000,0.000
1290988800,10000.000,10215.264,0.000,0.000
1291075200,10000.000,10215.264,0.000,0.000
1291161600,10000.000,10215.264,0.000,0.000
1291248000,10000.000,10215.264,0.000,0.000
1291334400,10000.000,10215.264,0.000,0.000
1291593600,10000.000,10215.264,0.000,0.000
1291680000,10000.000,10215.264,0.000,0.000
1291766400,10000.000,10215.264,0.000,0.000
1291852800,10000.000,10215.264,0.000,0.000
